STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,ACTIVITY,Economic activity (NACE Rev.2),ADJUSTMENT,Adjustment,RESIDENCE,Place of residence,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,DECIMALS,Decimals,COMMENT_TS_NACE,Comments on the time series NACE
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1995-Q1,,195188,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1995-Q2,,197989,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1995-Q3,,201864,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1995-Q4,,203236,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1996-Q1,,203073,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1996-Q2,,205069,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1996-Q3,,205223,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1996-Q4,,205783,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1997-Q1,,205648,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1997-Q2,,210428,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1997-Q3,,214080,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1997-Q4,,217181,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1998-Q1,,215698,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,1998-Q2,,221106,,0,Units,,,0,Zero,,
